TimeSeries ID,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:artifactregistry.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:cloudbuild.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:cloudfunctions.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:compute.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:eventarc.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:logging.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:privilegedaccessmanager.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:pubsub.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:run.googleapis.com,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_SUM.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com") AND metric.labels.response_code_class=one_of("4xx" "5xx").project_id:cloud-rishuvan.service:sourcerepo.googleapis.com
project_id,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan
service,artifactregistry.googleapis.com,cloudbuild.googleapis.com,cloudfunctions.googleapis.com,compute.googleapis.com,eventarc.googleapis.com,logging.googleapis.com,privilegedaccessmanager.googleapis.com,pubsub.googleapis.com,run.googleapis.com,sourcerepo.googleapis.com
Wed May 22 2024 21:34:00 GMT+0530 (India Standard Time),0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:35:00 GMT+0530 (India Standard Time),0.9090909090909091,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:36:00 GMT+0530 (India Standard Time),0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:51:00 GMT+0530 (India Standard Time),0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:52:00 GMT+0530 (India Standard Time),0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:57:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:58:00 GMT+0530 (India Standard Time),undefined,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:13:00 GMT+0530 (India Standard Time),undefined,undefined,0,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:14:00 GMT+0530 (India Standard Time),undefined,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:15:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:16:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:17:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:18:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:24:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:25:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:33:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:34:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:35:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:36:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:37:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:43:00 GMT+0530 (India Standard Time),undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:44:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:09:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:10:00 GMT+0530 (India Standard Time),undefined,undefined,0,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:11:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:12:00 GMT+0530 (India Standard Time),0,0,0,0,0,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:13:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,0,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:22:00 GMT+0530 (India Standard Time),0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:23:00 GMT+0530 (India Standard Time),0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:26:00 GMT+0530 (India Standard Time),0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:27:00 GMT+0530 (India Standard Time),0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:40:00 GMT+0530 (India Standard Time),0,undefined,0,undefined,undefined,0,undefined,undefined,0,undefined
Wed May 22 2024 23:41:00 GMT+0530 (India Standard Time),0.025,undefined,0,undefined,0,0,undefined,0,0,undefined
Wed May 22 2024 23:42:00 GMT+0530 (India Standard Time),0.05263157894736842,0,0,undefined,0,0,undefined,1,0,undefined
Wed May 22 2024 23:43:00 GMT+0530 (India Standard Time),0.3333333333333333,undefined,0,0,undefined,0,undefined,1,undefined,undefined
Thu May 23 2024 00:19:00 GMT+0530 (India Standard Time),0,undefined,0,undefined,1,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:20:00 GMT+0530 (India Standard Time),0,undefined,0,undefined,1,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:21:00 GMT+0530 (India Standard Time),0,0,0,0,1,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:22:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:30:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 00:31:00 GMT+0530 (India Standard Time),0,0,0,undefined,1,0,undefined,undefined,0,undefined
Thu May 23 2024 00:32:00 GMT+0530 (India Standard Time),0,undefined,0,undefined,1,0,undefined,1,0,undefined
Thu May 23 2024 00:33:00 GMT+0530 (India Standard Time),0,0,0,0,1,undefined,undefined,1,0,undefined
Thu May 23 2024 00:34:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:37:00 GMT+0530 (India Standard Time),undefined,0,0,undefined,1,undefined,0.25,undefined,0,undefined
Thu May 23 2024 00:38:00 GMT+0530 (India Standard Time),0,undefined,0,0,1,undefined,undefined,undefined,0,undefined
Thu May 23 2024 00:39:00 GMT+0530 (India Standard Time),undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 00:50:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0
Thu May 23 2024 00:51:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0
Thu May 23 2024 00:55:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0
Thu May 23 2024 01:07:00 GMT+0530 (India Standard Time),undefined,undefined,0,0,1,undefined,undefined,undefined,0,undefined
Thu May 23 2024 01:08:00 GMT+0530 (India Standard Time),undefined,undefined,0,0,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 01:09:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0,0,undefined,undefined,undefined,0,0
Thu May 23 2024 01:10:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 01:11:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 06:24:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined
Thu May 23 2024 09:57:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 10:07:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0,undefined,undefined,undefined,undefined,0,undefined
Thu May 23 2024 10:08:00 GMT+0530 (India Standard Time),0,0,0,0,1,undefined,undefined,undefined,0,undefined
Thu May 23 2024 10:09:00 GMT+0530 (India Standard Time),0,undefined,0,undefined,1,undefined,undefined,undefined,0,undefined